dataset,r2,rmse,time,complexity,expression
1027_ESL,0.7781330597097889,,383.2967903614044,57,(((6.861272632782988 add (-6.092167025499522 add (1.0801714584219013 mul x_3))) add (-2.0387272107505083 add (0.30589420433011427 mul (-3.753373084139305 add (0.6670686760911088 mul x_0))))) mul ((13.360130810732251 add ((0.08150593020013479 mul (-3.281327866248291 add (0.6326467608447862 mul x_1))) sub (-12.758129394081095 add (-0.45651333760973606 mul cos((1.3283603566642268 add (100.20434482821939 mul (-4.376554965886802 add (0.8114749627725839 mul x_2))))))))) add (12.763129938103601 add (-38.27865850257694 mul sin((-2.866942501161291 add (11.588430490375831 mul (-6.092167025499522 add (1.0801714584219013 mul x_3)))))))))
1028_SWD,0.11366931065293695,,400.2451605796814,124,(((4.0024406137640804 add (-0.012086181275652308 mul (-2.5485605630309838 add (1.2700467922081313 mul x_8)))) sub ((0.29755938623592093 add (-0.3810926554841432 mul (-2.1755077704251637 add (0.9569682274597494 mul x_2)))) sub (0.012440613764078281 add (0.15093162300923374 mul (-2.7362239544991653 add (1.3456839120487698 mul x_9)))))) sub ((-0.012125209427116979 add ((0.8459598985425826 add (-2.939873661036668 add (2.0044593143431833 mul x_5))) mul (0.2629172674874098 add (-0.9167215219955187 mul cos(((1.2176124666312316 add (-0.9011860620801201 mul (-2.9482313613747744 add (1.3950621583792306 mul x_7)))) add (((0.6139566762724071 mul (-2.903025964771806 add (1.28832513229518 mul x_1))) add (0.33761246663123323 add (1.0986890082126193 mul (-2.4701190893783838 add (1.2309563568330815 mul x_3))))) add ((0.32061246663123044 add (-1.3196684756048411 mul (-2.779566095039738 add (1.4278592953971254 mul x_0)))) add ((0.3076124666312323 add (-1.1176845929452865 mul (-2.4616194398373548 add (1.0285317993749392 mul x_4)))) add (1.2176124666312342 add ((1.2176124666312287 add (-8.482285879926893 mul (-2.5804959867382573 add (1.3440083264261757 mul x_6)))) sub (-1.21761246663123 add (-2.158561203082186 mul (-2.1755077704251637 add (0.9569682274597494 mul x_2))))))))))))))) mul (-0.6997462594164333 add (0.37433022951216044 mul (-2.1755077704251637 add (0.9569682274597494 mul x_2))))))
1029_LEV,0.7120260956825883,,129.96740198135376,45,((((-4.4319018057382555 add (-1.4913495697629222 add (0.766104231042597 mul x_1))) sub (4.391901805739633 add (-0.32662268694290236 mul (-1.3795745019576193 add (0.7014785603174336 mul x_2))))) mul (0.5821347828648731 add (-0.04472285777811957 mul (-1.3729058442435211 add (0.7052598514949594 mul x_0))))) sub (-7.351606623877779 add ((0.020333053208584115 add (-0.9668230924537558 mul sin((1.3059459855924107 add (-90.07806266703575 mul (-1.39281666212036 add (0.7254253448543542 mul x_3))))))))**2))
1030_ERA,0.08766008341267117,,105.61384677886963,45,(((6.133191384818361 add cos((1.5712939722825898 add (-90.08631920525212 mul (-1.9036345372499046 add (0.2799462554779272 mul x_2)))))) sub (3.9668086151811313 add (-0.26245027091695006 mul (-1.705063838621248 add (0.22356606275628252 mul x_0))))) mul ((2.799883329834702 add (-0.5307505742079662 mul cos((89.95403313681902 mul (-1.3926300358678512 add (0.2131576585512017 mul x_3)))))) add (0.49688332983470695 add (0.9369693547998588 mul (-1.778334564433101 add (0.2607528686852054 mul x_1))))))
